epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1305.65,1.18645,3.62511,1.23994,0.78358,0.74934,0.76212,0.40375,2.39403,5.80921,2.03544,0.0002872,0.0002872,0.0002872
74,1323.18,1.16396,3.54845,1.2199,0.80007,0.72909,0.75482,0.41883,2.28718,5.85388,1.95654,0.0002773,0.0002773,0.0002773
75,1340.87,1.16291,3.44759,1.22414,0.79449,0.73392,0.75617,0.4111,2.32559,5.80729,1.97979,0.0002674,0.0002674,0.0002674
76,1358.43,1.15773,3.46146,1.20607,0.79606,0.74553,0.7629,0.41892,2.27315,5.68851,1.96855,0.0002575,0.0002575,0.0002575
77,1375.88,1.16446,3.50177,1.22255,0.79116,0.74776,0.76524,0.41557,2.30041,5.7207,1.997,0.0002476,0.0002476,0.0002476
78,1393.58,1.15872,3.57599,1.23208,0.79247,0.74893,0.7637,0.42433,2.29899,5.53774,1.98075,0.0002377,0.0002377,0.0002377
79,1411.06,1.16754,3.48829,1.22998,0.79954,0.74882,0.75627,0.42742,2.27028,5.55753,1.99244,0.0002278,0.0002278,0.0002278
80,1428.77,1.14341,3.38022,1.19798,0.80999,0.73191,0.75884,0.42519,2.27665,5.45081,1.96889,0.0002179,0.0002179,0.0002179
81,1468.55,0.97475,2.42266,1.18267,0.80646,0.73752,0.7596,0.41964,2.3411,5.60779,2.00347,0.000208,0.000208,0.000208
82,1485.44,0.99755,2.37204,1.19141,0.79401,0.7426,0.75231,0.41717,2.26904,5.70368,1.98106,0.0001981,0.0001981,0.0001981
83,1502.4,0.94069,2.21855,1.16441,0.81166,0.73804,0.76149,0.43711,2.184,5.52254,1.9494,0.0001882,0.0001882,0.0001882
84,1519.54,0.95917,2.29352,1.16612,0.79773,0.75016,0.75991,0.44501,2.11553,5.44715,1.91534,0.0001783,0.0001783,0.0001783
85,1536.46,0.96019,2.23681,1.17921,0.78747,0.75153,0.76536,0.454,2.10052,5.47037,1.89747,0.0001684,0.0001684,0.0001684
86,1553.43,0.94312,2.1957,1.16685,0.79541,0.74176,0.76556,0.42855,2.305,5.62644,2.05488,0.0001585,0.0001585,0.0001585
87,1570.6,0.93717,2.20568,1.15568,0.81166,0.73963,0.76713,0.42872,2.28329,5.55527,2.08067,0.0001486,0.0001486,0.0001486
88,1587.75,0.92809,2.16994,1.1337,0.8025,0.73963,0.76169,0.44067,2.22926,5.5572,2.02719,0.0001387,0.0001387,0.0001387
89,1604.8,0.91911,2.13111,1.13746,0.81149,0.74965,0.76878,0.45775,2.18533,5.37261,1.98861,0.0001288,0.0001288,0.0001288
90,1622.02,0.9338,2.15205,1.15906,0.81147,0.7461,0.76161,0.42459,2.34792,5.68794,2.13208,0.0001189,0.0001189,0.0001189
91,1639.11,0.92255,2.1651,1.16199,0.8011,0.75743,0.76704,0.42993,2.33059,5.48398,2.11896,0.000109,0.000109,0.000109
92,1656.22,0.89537,2.0783,1.13861,0.80323,0.7562,0.76878,0.44257,2.22881,5.43414,2.07071,9.91e-05,9.91e-05,9.91e-05
93,1673.33,0.88716,2.02756,1.13561,0.78802,0.76435,0.7667,0.43944,2.24159,5.48585,2.06724,8.92e-05,8.92e-05,8.92e-05
94,1691.06,0.8983,2.01733,1.12903,0.78856,0.75952,0.76226,0.4435,2.19831,5.39953,2.01072,7.93e-05,7.93e-05,7.93e-05
95,1708.2,0.8704,1.99232,1.11698,0.78762,0.75568,0.75862,0.43036,2.26934,5.52582,2.08498,6.94e-05,6.94e-05,6.94e-05
96,1725.32,0.8766,1.98732,1.12766,0.78658,0.76121,0.76384,0.42619,2.30439,5.48019,2.12457,5.95e-05,5.95e-05,5.95e-05
97,1742.22,0.87091,1.95869,1.12135,0.80169,0.74724,0.7652,0.44544,2.19327,5.40655,2.03774,4.96e-05,4.96e-05,4.96e-05
98,1760.67,0.85724,1.96456,1.10831,0.80903,0.73952,0.76399,0.42455,2.31911,5.46286,2.1366,3.97e-05,3.97e-05,3.97e-05
99,1778.15,0.86322,1.92751,1.12292,0.79111,0.75139,0.76035,0.43462,2.25308,5.45678,2.08135,2.98e-05,2.98e-05,2.98e-05
100,1795.51,0.85906,1.96034,1.12382,0.79504,0.74908,0.76188,0.43602,2.24567,5.40719,2.07786,1.99e-05,1.99e-05,1.99e-05
