epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,51407.1,1.11226,3.76695,1.16649,0.7413,0.72038,0.74155,0.45947,2.46519,10.6987,2.19764,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285
77,51910.7,1.07907,3.74847,1.15113,0.74335,0.71411,0.7433,0.45455,2.46639,10.6389,2.19282,0.000533786,0.000177929,0.000533786,0.000177929,0.000533786,0.000177929,0.000533786,0.000177929
78,52430.3,1.10973,3.8727,1.16263,0.75737,0.70792,0.74644,0.45138,2.50629,10.6356,2.22379,0.000526718,0.000175573,0.000526718,0.000175573,0.000526718,0.000175573,0.000526718,0.000175573
79,53000.1,1.08174,3.68611,1.15212,0.75671,0.70203,0.74229,0.45309,2.49859,10.6742,2.22388,0.000519649,0.000173216,0.000519649,0.000173216,0.000519649,0.000173216,0.000519649,0.000173216
80,53538.4,1.08735,3.70696,1.15294,0.75283,0.70044,0.74073,0.45465,2.53559,10.1708,2.2723,0.000512581,0.00017086,0.000512581,0.00017086,0.000512581,0.00017086,0.000512581,0.00017086
81,54085.2,1.0827,3.72743,1.15095,0.74401,0.71428,0.74381,0.45911,2.48114,10.2821,2.23322,0.000505512,0.000168504,0.000505512,0.000168504,0.000505512,0.000168504,0.000505512,0.000168504
82,54645.4,1.09705,3.73464,1.14901,0.75457,0.70611,0.74156,0.45483,2.47646,10.6168,2.21608,0.000498443,0.000166148,0.000498443,0.000166148,0.000498443,0.000166148,0.000498443,0.000166148
83,55202.7,1.07909,3.64532,1.15016,0.74517,0.71302,0.7435,0.45596,2.48334,10.5895,2.21995,0.000491375,0.000163792,0.000491375,0.000163792,0.000491375,0.000163792,0.000491375,0.000163792
84,55750.7,1.06179,3.58205,1.14073,0.75283,0.70452,0.74214,0.45386,2.52081,10.5819,2.23761,0.000484306,0.000161435,0.000484306,0.000161435,0.000484306,0.000161435,0.000484306,0.000161435
85,56282.8,1.08825,3.65667,1.14594,0.74936,0.70784,0.74038,0.46465,2.4009,10.696,2.13754,0.000477238,0.000159079,0.000477238,0.000159079,0.000477238,0.000159079,0.000477238,0.000159079
86,56846.8,1.08494,3.67122,1.15421,0.75989,0.70667,0.7451,0.45233,2.4959,10.8739,2.2108,0.000470169,0.000156723,0.000470169,0.000156723,0.000470169,0.000156723,0.000470169,0.000156723
87,57380.4,1.10957,3.80085,1.16312,0.75276,0.71789,0.75105,0.46098,2.48272,10.3248,2.23195,0.0004631,0.000154367,0.0004631,0.000154367,0.0004631,0.000154367,0.0004631,0.000154367
88,57910.4,1.05881,3.59582,1.14249,0.73068,0.72251,0.7456,0.46185,2.48841,10.4203,2.26275,0.000456032,0.000152011,0.000456032,0.000152011,0.000456032,0.000152011,0.000456032,0.000152011
89,58464.6,1.06878,3.66453,1.14262,0.74512,0.70123,0.74271,0.45326,2.55319,10.316,2.32489,0.000448963,0.000149654,0.000448963,0.000149654,0.000448963,0.000149654,0.000448963,0.000149654
90,58976.7,1.0772,3.69433,1.15489,0.75448,0.69819,0.74527,0.45967,2.50434,10.3625,2.2764,0.000441895,0.000147298,0.000441895,0.000147298,0.000441895,0.000147298,0.000441895,0.000147298
91,59533,1.06919,3.61183,1.14137,0.73636,0.71111,0.74454,0.45749,2.51646,10.6778,2.26902,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942
92,60069.1,1.05315,3.56596,1.11877,0.74994,0.70203,0.74397,0.45632,2.53959,10.5134,2.30849,0.000427757,0.000142586,0.000427757,0.000142586,0.000427757,0.000142586,0.000427757,0.000142586
93,60599.6,1.08096,3.57379,1.1485,0.75752,0.69486,0.74484,0.4646,2.47699,10.3952,2.25478,0.000420689,0.00014023,0.000420689,0.00014023,0.000420689,0.00014023,0.000420689,0.00014023
94,61154.9,1.06824,3.63402,1.15615,0.74706,0.71307,0.74473,0.46145,2.54262,10.2491,2.30067,0.00041362,0.000137873,0.00041362,0.000137873,0.00041362,0.000137873,0.00041362,0.000137873
95,61698.5,1.07053,3.6766,1.14538,0.74354,0.72034,0.74407,0.4636,2.50473,10.3609,2.25854,0.000406552,0.000135517,0.000406552,0.000135517,0.000406552,0.000135517,0.000406552,0.000135517
96,62274.6,1.03841,3.47937,1.13226,0.75587,0.7015,0.74367,0.46119,2.50956,10.6439,2.28291,0.000399483,0.000133161,0.000399483,0.000133161,0.000399483,0.000133161,0.000399483,0.000133161
97,62802.1,1.05219,3.49555,1.13416,0.74557,0.71143,0.74352,0.46196,2.51917,10.4464,2.29521,0.000392414,0.000130805,0.000392414,0.000130805,0.000392414,0.000130805,0.000392414,0.000130805
98,63361,1.04505,3.63776,1.13134,0.75264,0.70579,0.74326,0.4635,2.50903,10.5126,2.25944,0.000385346,0.000128449,0.000385346,0.000128449,0.000385346,0.000128449,0.000385346,0.000128449
99,63884.7,1.06421,3.58281,1.1426,0.74919,0.71083,0.74425,0.46366,2.50916,10.6722,2.24951,0.000378277,0.000126092,0.000378277,0.000126092,0.000378277,0.000126092,0.000378277,0.000126092
100,64415.7,1.065,3.52957,1.14359,0.74258,0.70907,0.74242,0.4612,2.50646,10.7785,2.25339,0.000371209,0.000123736,0.000371209,0.000123736,0.000371209,0.000123736,0.000371209,0.000123736
101,64963.8,1.06156,3.58005,1.14485,0.7533,0.70269,0.74179,0.45564,2.50336,11.0174,2.22719,0.00036414,0.00012138,0.00036414,0.00012138,0.00036414,0.00012138,0.00036414,0.00012138
102,65494.7,1.05555,3.58162,1.13328,0.7464,0.70863,0.73996,0.45883,2.49691,10.9552,2.23625,0.000357071,0.000119024,0.000357071,0.000119024,0.000357071,0.000119024,0.000357071,0.000119024
103,66043.7,1.02842,3.54719,1.12493,0.7413,0.7106,0.74126,0.45513,2.56151,10.6681,2.30287,0.000350003,0.000116668,0.000350003,0.000116668,0.000350003,0.000116668,0.000350003,0.000116668
104,66593.3,1.04182,3.46249,1.12745,0.74221,0.71847,0.74556,0.45437,2.60912,10.4423,2.36683,0.000342934,0.000114311,0.000342934,0.000114311,0.000342934,0.000114311,0.000342934,0.000114311
105,67162.3,1.03572,3.44846,1.13012,0.74729,0.7204,0.74656,0.46537,2.51231,10.2978,2.28607,0.000335866,0.000111955,0.000335866,0.000111955,0.000335866,0.000111955,0.000335866,0.000111955
106,67703.5,1.04102,3.49802,1.13789,0.74646,0.72199,0.746,0.46035,2.5834,10.1352,2.38947,0.000328797,0.000109599,0.000328797,0.000109599,0.000328797,0.000109599,0.000328797,0.000109599
107,68237.2,1.01968,3.41364,1.11597,0.75357,0.71427,0.74783,0.46295,2.55711,10.246,2.34421,0.000321728,0.000107243,0.000321728,0.000107243,0.000321728,0.000107243,0.000321728,0.000107243
108,68769.7,1.02447,3.47577,1.12588,0.749,0.7192,0.74581,0.46322,2.52653,10.3298,2.3309,0.00031466,0.000104887,0.00031466,0.000104887,0.00031466,0.000104887,0.00031466,0.000104887
109,69296.2,1.02433,3.51918,1.13822,0.74238,0.71892,0.74633,0.4614,2.56106,10.3027,2.37626,0.000307591,0.00010253,0.000307591,0.00010253,0.000307591,0.00010253,0.000307591,0.00010253
110,69819.2,1.04003,3.51319,1.13358,0.73862,0.71598,0.74409,0.46527,2.51276,10.3174,2.34453,0.000300523,0.000100174,0.000300523,0.000100174,0.000300523,0.000100174,0.000300523,0.000100174
111,70403.5,1.03386,3.43372,1.12584,0.74947,0.70449,0.74293,0.45724,2.54091,10.6487,2.3369,0.000293454,9.7818e-05,0.000293454,9.7818e-05,0.000293454,9.7818e-05,0.000293454,9.7818e-05
112,70949,1.04523,3.4085,1.13421,0.75014,0.70103,0.74376,0.46181,2.51555,10.4135,2.32373,0.000286385,9.54618e-05,0.000286385,9.54618e-05,0.000286385,9.54618e-05,0.000286385,9.54618e-05
113,71488.3,1.02974,3.44455,1.12701,0.7483,0.70609,0.74431,0.45743,2.5369,10.6335,2.33355,0.000279317,9.31056e-05,0.000279317,9.31056e-05,0.000279317,9.31056e-05,0.000279317,9.31056e-05
114,72011.5,1.02078,3.4794,1.11426,0.75016,0.70459,0.74319,0.46414,2.50022,10.4938,2.305,0.000272248,9.07494e-05,0.000272248,9.07494e-05,0.000272248,9.07494e-05,0.000272248,9.07494e-05
115,72534.3,0.98045,3.25798,1.10216,0.75265,0.70107,0.74406,0.46448,2.52768,10.2964,2.33847,0.00026518,8.83932e-05,0.00026518,8.83932e-05,0.00026518,8.83932e-05,0.00026518,8.83932e-05
116,73097.6,1.02914,3.42811,1.13211,0.74175,0.70989,0.74125,0.46275,2.53058,10.2965,2.32865,0.000258111,8.6037e-05,0.000258111,8.6037e-05,0.000258111,8.6037e-05,0.000258111,8.6037e-05
117,73628.5,1.02613,3.42548,1.12079,0.74508,0.70539,0.74142,0.45835,2.56907,10.4182,2.36226,0.000251042,8.36808e-05,0.000251042,8.36808e-05,0.000251042,8.36808e-05,0.000251042,8.36808e-05
118,74159.8,1.01838,3.44152,1.12916,0.73814,0.71511,0.74392,0.46494,2.52633,10.011,2.35175,0.000243974,8.13246e-05,0.000243974,8.13246e-05,0.000243974,8.13246e-05,0.000243974,8.13246e-05
119,74707.6,1.03007,3.34861,1.12131,0.74192,0.71561,0.74545,0.46504,2.52747,10.1941,2.34056,0.000236905,7.89684e-05,0.000236905,7.89684e-05,0.000236905,7.89684e-05,0.000236905,7.89684e-05
120,75278.6,1.04519,3.48147,1.12881,0.74978,0.71366,0.74568,0.45996,2.57023,10.0856,2.40097,0.000229837,7.66122e-05,0.000229837,7.66122e-05,0.000229837,7.66122e-05,0.000229837,7.66122e-05
121,75833.8,1.02558,3.39086,1.12663,0.7404,0.71453,0.74385,0.46597,2.53264,9.9862,2.36464,0.000222768,7.4256e-05,0.000222768,7.4256e-05,0.000222768,7.4256e-05,0.000222768,7.4256e-05
122,76387.6,1.00547,3.32502,1.11096,0.74461,0.71265,0.74482,0.46426,2.5349,10.0221,2.36762,0.000215699,7.18998e-05,0.000215699,7.18998e-05,0.000215699,7.18998e-05,0.000215699,7.18998e-05
123,76957.2,1.04303,3.45492,1.13096,0.75754,0.70187,0.74593,0.46482,2.51284,10.1935,2.34338,0.000208631,6.95436e-05,0.000208631,6.95436e-05,0.000208631,6.95436e-05,0.000208631,6.95436e-05
124,77476.7,1.02298,3.39297,1.12134,0.74968,0.70993,0.74599,0.46613,2.50804,10.3204,2.32007,0.000201562,6.71874e-05,0.000201562,6.71874e-05,0.000201562,6.71874e-05,0.000201562,6.71874e-05
125,78015.9,0.99745,3.25436,1.11027,0.74452,0.70978,0.74695,0.46501,2.50358,10.3243,2.31196,0.000194494,6.48312e-05,0.000194494,6.48312e-05,0.000194494,6.48312e-05,0.000194494,6.48312e-05
126,78540.7,1.01686,3.28782,1.11876,0.74904,0.70534,0.7458,0.46449,2.51356,10.3202,2.31534,0.000187425,6.2475e-05,0.000187425,6.2475e-05,0.000187425,6.2475e-05,0.000187425,6.2475e-05
